Location,Time,Sex,Age,Value
World,2098,Female,25-49,1544682803.0
World,2098,Male,50+,1439648292.5
World,2098,Female,50+,1468278465.5
World,2098,Male,75+,640653219.0
World,2098,Female,75+,764945466.0
World,2099,Male,0-24,1484967973.0
World,2099,Female,0-24,1432672697.5
World,2099,Male,25-49,1577388666.0
World,2099,Female,25-49,1540742538.5
World,2099,Male,50+,1442703801.5
World,2099,Female,50+,1471549084.5
World,2099,Male,75+,642437537.0
World,2099,Female,75+,767807063.5
World,2100,Male,0-24,1478270111.5
World,2100,Female,0-24,1426140842.0
World,2100,Male,25-49,1573452400.5
World,2100,Female,25-49,1536828596.5
World,2100,Male,50+,1445402639.5
World,2100,Female,50+,1474411723.0
World,2100,Male,75+,644168327.0
World,2100,Female,75+,770648398.0
