Location,Iso3,Value,type
Belarus,BLR,2.255866,Fertility
Belarus,BLR,2.249667,Fertility
Belarus,BLR,2.167564,Fertility
Belarus,BLR,2.143252,Fertility
Belarus,BLR,2.116251,Fertility
Belarus,BLR,2.086593,Fertility
Belarus,BLR,2.052673,Fertility
Belarus,BLR,2.02965,Fertility
Belarus,BLR,2.016463,Fertility
Belarus,BLR,2.04258,Fertility
Belarus,BLR,2.08631,Fertility
Belarus,BLR,2.092309,Fertility
Belarus,BLR,2.072994,Fertility
Belarus,BLR,2.178256,Fertility
Belarus,BLR,2.101534,Fertility
Belarus,BLR,2.119407,Fertility
Belarus,BLR,2.031907,Fertility
Belarus,BLR,1.918805,Fertility
Belarus,BLR,1.808378,Fertility
Belarus,BLR,1.760034,Fertility
Belarus,BLR,1.629457,Fertility
Belarus,BLR,1.536771,Fertility
Belarus,BLR,1.41766,Fertility
Belarus,BLR,1.349993,Fertility
Belarus,BLR,1.266223,Fertility
Belarus,BLR,1.303464,Fertility
Belarus,BLR,1.311961,Fertility
Belarus,BLR,1.316084,Fertility
Belarus,BLR,1.285878,Fertility
Belarus,BLR,1.249624,Fertility
Belarus,BLR,1.242005,Fertility
Belarus,BLR,1.246256,Fertility
Belarus,BLR,1.254289,Fertility
Belarus,BLR,1.293374,Fertility
Belarus,BLR,1.375294,Fertility
Belarus,BLR,1.431171,Fertility
Belarus,BLR,1.521022,Fertility
Belarus,BLR,1.498539,Fertility
Belarus,BLR,1.522762,Fertility
Belarus,BLR,1.621912,Fertility
Belarus,BLR,1.681601,Fertility
Belarus,BLR,1.710363,Fertility
Belarus,BLR,1.735153,Fertility
Belarus,BLR,1.72308,Fertility
Belarus,BLR,1.550321,Fertility
Belarus,BLR,1.456613,Fertility
Belarus,BLR,1.463568,Fertility
Belarus,BLR,1.474224,Fertility
Belarus,BLR,1.482951,Fertility
Belarus,BLR,1.494575,Fertility
Belarus,BLR,1.508275,Fertility
Croatia,HRV,2.933047,Fertility
Croatia,HRV,2.733004,Fertility
Croatia,HRV,2.705327,Fertility
Croatia,HRV,2.669375,Fertility
Croatia,HRV,2.629549,Fertility
Croatia,HRV,2.571931,Fertility
Croatia,HRV,2.483701,Fertility
Croatia,HRV,2.365041,Fertility
Croatia,HRV,2.277588,Fertility
Croatia,HRV,2.253045,Fertility
Croatia,HRV,2.232406,Fertility
Croatia,HRV,2.217728,Fertility
Croatia,HRV,2.196271,Fertility
Croatia,HRV,2.171327,Fertility
Croatia,HRV,2.173324,Fertility
Croatia,HRV,2.210531,Fertility
Croatia,HRV,2.193105,Fertility
Croatia,HRV,2.106924,Fertility
Croatia,HRV,2.026171,Fertility
Croatia,HRV,1.953168,Fertility
Croatia,HRV,1.917018,Fertility
Croatia,HRV,1.961142,Fertility
Croatia,HRV,1.992333,Fertility
Croatia,HRV,1.998323,Fertility
Croatia,HRV,1.977139,Fertility
Croatia,HRV,1.955699,Fertility
Croatia,HRV,1.942017,Fertility
Croatia,HRV,1.945745,Fertility
Croatia,HRV,1.946063,Fertility
Croatia,HRV,1.933997,Fertility
Croatia,HRV,1.919814,Fertility
Croatia,HRV,1.91288,Fertility
Croatia,HRV,1.895742,Fertility
Croatia,HRV,1.878048,Fertility
Croatia,HRV,1.856762,Fertility
Croatia,HRV,1.815191,Fertility
Croatia,HRV,1.763736,Fertility
Croatia,HRV,1.733302,Fertility
Croatia,HRV,1.695072,Fertility
Croatia,HRV,1.632213,Fertility
Croatia,HRV,1.62787,Fertility
Croatia,HRV,1.548885,Fertility
Croatia,HRV,1.449908,Fertility
Croatia,HRV,1.507057,Fertility
Croatia,HRV,1.544584,Fertility
Croatia,HRV,1.62706,Fertility
